,着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id
201001010807,2,5,9,バンダムクラウス,牡3,55.0,丸山元気,1:10.8,3/4,8.9,5.0,454(+8),[西] 南井克巳,1200,曇,芝,良,2010年9月5日,2007102223,01127
201001010807,3,5,10,フレデフォート,牡3,54.0,古川吉洋,1:10.9,1/2,5.2,3.0,442(0),[西] 安田隆行,1200,曇,芝,良,2010年9月5日,2007110124,01015
201001010807,4,7,13,メイショウオリビア,牝3,54.0,吉田隼人,1:10.9,アタマ,8.2,4.0,452(0),[西] 荒川義之,1200,曇,芝,良,2010年9月5日,2007101559,01095
201001010807,5,4,7,モノリス,牡3,56.0,上村洋行,1:11.0,クビ,45.6,10.0,474(0),[東] 粕谷昌央,1200,曇,芝,良,2010年9月5日,2007105927,00709
201001010807,6,1,2,サマーヘレネ,牝3,54.0,黛弘人,1:11.1,3/4,22.8,9.0,432(+10),[東] 稲葉隆一,1200,曇,芝,良,2010年9月5日,2007103608,01109
201001010807,7,7,14,シンセツ,牝3,54.0,柴山雄一,1:11.1,アタマ,88.4,13.0,418(+10),[東] 中川公成,1200,曇,芝,良,2010年9月5日,2007101525,05243
201001010807,8,6,12,エアモンラッシェ,牝3,54.0,藤田伸二,1:11.2,クビ,59.1,12.0,454(-4),[西] 笹田和秀,1200,曇,芝,良,2010年9月5日,2007100876,00705
201001010807,9,3,6,エルフガーランド,牝3,54.0,丸田恭介,1:11.2,アタマ,11.6,6.0,440(+2),[東] 宗像義忠,1200,曇,芝,良,2010年9月5日,2007102720,01117
201001010807,10,6,11,ビービーラッハーン,牝3,54.0,横山典弘,1:11.3,1/2,4.9,2.0,472(-4),[東] 古賀慎明,1200,曇,芝,良,2010年9月5日,2007105622,00660
201001010807,11,2,4,クリノビートイット,牝3,54.0,宮崎北斗,1:11.3,クビ,333.8,15.0,432(+10),[西] 作田誠二,1200,曇,芝,良,2010年9月5日,2007100574,01118
201001010807,12,8,16,ニシノアクセル,牡3,56.0,芹沢純一,1:11.5,1.1/4,344.6,16.0,542(+14),[西] 田所秀孝,1200,曇,芝,良,2010年9月5日,2007102518,00674
201001010807,13,3,5,ミラクルゴールド,牡3,56.0,藤岡佑介,1:11.5,ハナ,17.0,8.0,480(-8),[東] 古賀慎明,1200,曇,芝,良,2010年9月5日,2007102820,01093
201001010807,14,4,8,サバンナ,牡3,56.0,小林徹弥,1:11.5,アタマ,55.7,11.0,428(+4),[西] 小島貞博,1200,曇,芝,良,2010年9月5日,2007100196,00722
201001010807,15,1,1,ジュウクセイリュウ,牡3,56.0,柴原央明,1:11.5,ハナ,95.7,14.0,444(+6),[西] 昆貢,1200,曇,芝,良,2010年9月5日,2007104719,01074
201001010807,16,2,3,トウカイカレッジ,セ3,56.0,武幸四郎,1:11.7,1.1/4,16.5,7.0,426(-4),[東] 後藤由之,1200,曇,芝,良,2010年9月5日,2007106340,01026
201001010808,1,7,10,トキノフウジン,牡3,54.0,柴原央明,1:47.1,,3.2,1.0,442(0),[西] 昆貢,1700,曇,ダート,良,2010年9月5日,2007105064,01074
201001010808,2,5,7,パシコジュリエ,牝3,52.0,坂下秀樹,1:47.2,3/4,68.7,11.0,456(-2),[地] 広森久雄,1700,曇,ダート,良,2010年9月5日,2007103813,05054
201001010808,3,1,1,セイカプレスト,牡4,57.0,柴山雄一,1:47.3,クビ,45.4,9.0,468(+4),[東] 相沢郁,1700,曇,ダート,良,2010年9月5日,2006106478,05243
201001010808,4,4,5,ジーワンボーイ,牡3,54.0,藤岡佑介,1:47.3,クビ,19.0,7.0,474(0),[西] 宮徹,1700,曇,ダート,良,2010年9月5日,2007103027,01093
201001010808,5,2,2,クリノテンペスタ,牡3,54.0,秋山真一,1:47.4,1/2,9.3,5.0,460(+4),[東] 高橋義博,1700,曇,ダート,良,2010年9月5日,2007109145,01019
201001010808,6,6,9,スマイルキング,セ4,57.0,横山典弘,1:47.5,クビ,4.5,2.0,486(-8),[東] 藤原辰雄,1700,曇,ダート,良,2010年9月5日,2006105527,00660
201001010808,7,4,4,スラマティンガル,牡4,57.0,三浦皇成,1:47.5,クビ,4.8,3.0,514(+8),[東] 天間昭一,1700,曇,ダート,良,2010年9月5日,2006101389,01122
201001010808,8,5,6,エリモレインボー,牝3,52.0,芹沢純一,1:47.6,クビ,259.9,13.0,448(+4),[西] 鹿戸明,1700,曇,ダート,良,2010年9月5日,2007104548,00674
201001010808,9,6,8,シルクエステート,牡4,57.0,池添謙一,1:47.6,クビ,5.3,4.0,444(-12),[西] 岡田稲男,1700,曇,ダート,良,2010年9月5日,2006106393,01032
201001010808,10,7,11,モルフェキング,牡3,54.0,服部茂史,1:48.0,2.1/2,107.2,12.0,464(+4),[西] 武宏平,1700,曇,ダート,良,2010年9月5日,2007106330,05286
201001010808,11,3,3,ピースオブキング,牡3,54.0,吉田稔,1:48.1,クビ,68.1,10.0,480(-10),[地] 原孝明,1700,曇,ダート,良,2010年9月5日,2007105760,05041
201001010808,12,8,12,グラスサミット,牡3,54.0,勝浦正樹,1:48.2,1/2,15.2,6.0,516(+2),[東] 尾形充弘,1700,曇,ダート,良,2010年9月5日,2007102648,01025
201001010808,13,8,13,ユキノクイーン,牝4,55.0,吉田隼人,1:48.3,3/4,26.9,8.0,466(+4),[東] 清水美波,1700,曇,ダート,良,2010年9月5日,2006101447,01095
201001010809,1,5,6,トウカイメロディ,牡3,53.0,吉田隼人,2:40.7,,2.4,1.0,444(0),[東] 後藤由之,2600,曇,芝,良,2010年9月5日,2007106596,01095
